R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  6.153826    -1.40096    -2.29432    -0.55573    -0.31969
  6.172306    -1.17033    -2.47281     0.43324    -0.57454
  6.190786    -0.91385    -2.52361     0.97354    -0.85477
  6.209265    -0.63842    -2.41826     1.13805    -1.37933
  6.227745    -0.35119    -2.42828     2.19510    -1.86171
  6.246225    -0.05935    -2.24515     2.95007    -2.01838
  6.264705     0.23019    -2.12455     3.29161    -2.15014
  6.283185     0.51097    -2.05805     3.78151    -2.36969
  6.301665     0.77718    -2.03296     4.25435    -2.11683
  6.320145     1.02373    -1.96905     5.04908    -2.42671
  6.338625     1.24632    -1.90203     5.60103    -2.40931
  6.357105     1.44148    -1.95054     6.25395    -2.40740
  6.375585     1.60653    -1.71143     6.65607    -2.15886
  6.394065     1.73954    -1.86420     6.39627    -2.37916
  6.412545     1.83931    -2.01524     7.13569    -2.50345
  6.431025     1.90527    -1.87377     7.35877    -2.53822
  6.449505     1.93751    -1.91715     7.24499    -2.38052
  6.467985     1.93671    -1.91656     7.99525    -2.47358
  6.486465     1.90418    -1.91977     8.37587    -2.76515
  6.504945     1.84185    -1.88581     7.75879    -2.63367
  6.523425     1.75231    -2.05465     7.20493    -2.52608
  6.541905     1.63885    -2.17758     6.62046    -2.50418
  6.560385     1.50553    -2.14640     6.20230    -2.72593
  6.578865     1.35711    -2.23963     6.03300    -2.76307
  6.597345     1.19914    -1.98879     5.46376    -2.47660
  6.615825     1.03781    -1.89449     4.83842    -2.50917
  6.634304     0.87987    -1.79250     4.22911    -2.21236
  6.652784     0.73250    -1.41808     4.13653    -2.09105
  6.671264     0.60301    -1.19868     3.55491    -2.16613
  6.689744     0.49862    -0.62949     2.69465    -1.82178
  6.708224     0.42614    -0.74419     2.26772    -1.40819
  6.726704     0.39156    -0.46088     1.71964    -1.05414
  6.745184     0.39977     0.14635     1.68339    -0.30438
  6.763664     0.45417     0.27262     1.39828    -0.41820
  6.782144     0.55636     0.26489     0.93350    -0.59469
  6.800624     0.70593     0.89387     0.47574     0.83380
  6.819104     0.90028     1.65064    -0.21427     0.73091
  6.837584     1.13457     2.31319    -0.43752     0.85535
  6.856064     1.40175     3.22984    -0.68410     2.08732
  6.874544     1.69282     4.41678    -1.16052     1.97503
  6.893024     1.99704     4.43000    -1.25427     2.10589
  6.911504     2.30240     5.15024    -1.08415     3.32419
  6.929984     2.59612     5.56329    -1.45555     4.03502
  6.948464     2.86523     6.24127    -1.75853     5.34943
  6.966944     3.09718     6.84054    -1.93530     5.14312
  6.985424     3.28050     6.99579    -2.05921     5.20734
  7.003904     3.40539     7.45967    -2.16551     4.53993
  7.022384     3.46425     8.31930    -2.24178     5.67293
  7.040864     3.45215     8.19318    -2.55158     6.10213
  7.059343     3.36714     7.57686    -2.75395     6.31466
  7.077823     3.21043     7.46770    -2.81144     7.14399
  7.096303     2.98640     6.90133    -2.83158     7.48823
  7.114783     2.70244     7.11951    -2.86791     6.29781
  7.133263     2.36866     6.34087    -2.91602     5.94606
  7.151743     1.99742     5.78567    -3.03695     5.95290
  7.170223     1.60272     5.04645    -3.05933     6.02690
  7.188703     1.19958     3.77567    -3.07028     6.85299
  7.207183     0.80328     2.97702    -2.97824     6.23462
  7.225663     0.42858     2.08697    -2.92682     5.49692
  7.244143     0.08904     1.16668    -2.95216     5.72113
  7.262623    -0.20366     1.14225    -2.97144     5.43236
  7.281103    -0.44029     0.73403    -2.88187     5.12629
  7.299583    -0.61450     0.48039    -2.94641     4.76453
  7.318063    -0.72307     0.40017    -2.74596     4.59153
  7.336543    -0.76608     0.18097    -2.50863     4.41161
